Date,KBANK
2011-04-07,132.25
2011-04-08,132.0
2011-04-11,130.25
2011-04-12,129.5
2011-04-18,129.5
2011-04-19,128.25
2011-04-20,128.75
2011-04-21,129.75
2011-04-22,129.5
2011-04-25,128.5
2011-04-26,126.75
2011-04-27,126.25
2011-04-28,125.5
2011-04-29,125.25
2011-05-03,124.0
2011-05-04,123.0
2011-05-06,122.0
2011-05-09,124.0
2011-05-10,126.5
2011-05-11,128.0
2011-05-12,127.0
2011-05-13,127.0
2011-05-18,124.75
2011-05-19,124.75
2011-05-20,123.0
2011-05-23,121.25
2011-05-24,122.25
2011-05-25,122.25
2011-05-26,122.0
2011-05-27,122.0
2011-05-30,123.25
2011-05-31,124.25
2011-06-01,123.25
2011-06-02,120.0
2011-06-03,119.0
2011-06-06,117.75
2011-06-07,115.25
2011-06-08,112.0
2011-06-09,111.0
2011-06-10,111.75
2011-06-13,110.5
2011-06-14,113.0
2011-06-15,114.75
2011-06-16,113.75
2011-06-17,114.25
2011-06-20,112.5
2011-06-21,114.0
2011-06-22,115.75
2011-06-23,113.0
2011-06-24,113.5
2011-06-27,114.0
2011-06-28,116.25
2011-06-29,119.0
2011-06-30,122.25
2011-07-04,131.75
2011-07-05,131.5
2011-07-06,128.75
2011-07-07,128.25
2011-07-08,128.5
2011-07-11,127.75
2011-07-12,125.0
2011-07-13,126.25
2011-07-14,127.0
2011-07-18,128.5
2011-07-19,133.0
2011-07-20,135.25
2011-07-21,134.5
2011-07-22,140.75
2011-07-25,142.25
2011-07-26,140.75
2011-07-27,140.5
2011-07-28,140.5
2011-07-29,140.75
2011-08-01,142.5
2011-08-02,140.5
2011-08-03,136.75
2011-08-04,136.25
2011-08-05,131.5
2011-08-08,130.0
2011-08-09,124.75
2011-08-10,126.5
2011-08-11,127.5
2011-08-15,133.0
2011-08-16,132.25
2011-08-17,133.5
2011-08-18,135.0
2011-08-19,131.5
2011-08-22,129.5
2011-08-23,127.0
2011-08-24,124.75
2011-08-25,123.75
2011-08-26,122.5
2011-08-29,125.25
2011-08-30,124.5
2011-08-31,126.0
2011-09-01,129.0
2011-09-02,128.5
2011-09-05,125.5
2011-09-06,124.25
2011-09-07,125.75
2011-09-08,126.0
2011-09-09,125.0
2011-09-12,121.25
2011-09-13,119.5
2011-09-14,119.0
