Date,ROBINS
2013-06-05,73.5
2013-06-06,71.6
2013-06-07,70.1
2013-06-10,71.5
2013-06-11,69.25
2013-06-12,66.85
2013-06-13,65.5
2013-06-14,68.6
2013-06-17,68.5
2013-06-18,66.6
2013-06-19,66.0
2013-06-20,63.0
2013-06-21,62.85
2013-06-24,63.5
2013-06-25,60.0
2013-06-26,62.75
2013-06-27,62.25
2013-06-28,62.0
2013-07-02,63.0
2013-07-03,62.85
2013-07-04,60.0
2013-07-05,58.6
2013-07-08,57.5
2013-07-09,57.0
2013-07-10,56.5
2013-07-11,58.8
2013-07-12,60.0
2013-07-15,59.6
2013-07-16,57.75
2013-07-17,57.6
2013-07-18,58.25
2013-07-19,57.9
2013-07-23,59.15
2013-07-24,59.5
2013-07-25,57.9
2013-07-26,56.6
2013-07-29,56.0
2013-07-30,55.9
2013-07-31,56.0
2013-08-01,57.3
2013-08-02,56.6
2013-08-05,55.15
2013-08-06,55.1
2013-08-07,55.4
2013-08-08,57.25
2013-08-09,56.5
2013-08-13,55.5
2013-08-14,53.85
2013-08-15,52.25
2013-08-16,52.5
2013-08-19,51.6
2013-08-20,49.25
2013-08-21,48.25
2013-08-22,47.6
2013-08-23,49.4
2013-08-26,48.75
2013-08-27,45.7
2013-08-28,42.5
2013-08-29,44.1
2013-08-30,46.0
2013-09-02,47.2
2013-09-03,48.6
2013-09-04,47.85
2013-09-05,48.8
2013-09-06,49.0
2013-09-09,49.6
2013-09-10,50.1
2013-09-11,50.5
2013-09-12,53.25
2013-09-13,53.1
2013-09-16,55.75
2013-09-17,55.75
2013-09-18,55.6
2013-09-19,58.5
2013-09-20,58.25
2013-09-23,55.1
2013-09-24,53.25
2013-09-25,52.35
2013-09-26,51.1
2013-09-27,50.75
2013-09-30,48.65
2013-10-01,47.8
2013-10-02,49.85
2013-10-03,52.65
2013-10-04,53.6
2013-10-07,52.7
2013-10-08,53.2
2013-10-09,55.25
2013-10-10,55.65
2013-10-11,56.0
2013-10-14,55.35
2013-10-15,55.85
2013-10-16,55.25
2013-10-17,56.0
2013-10-18,59.1
2013-10-21,60.4
2013-10-22,56.5
2013-10-24,56.75
2013-10-25,55.85
2013-10-28,54.5
2013-10-29,53.5
2013-10-30,53.25
2013-10-31,52.65
2013-11-01,53.25
2013-11-04,52.75
2013-11-05,52.25
2013-11-06,53.25
2013-11-07,55.0
2013-11-08,54.0
2013-11-11,54.85
2013-11-12,57.4
2013-11-13,56.5
2013-11-14,55.9
2013-11-15,57.15
2013-11-18,57.4
2013-11-19,56.15
2013-11-20,54.75
2013-11-21,53.1
2013-11-22,52.5
2013-11-25,52.1
2013-11-26,53.75
2013-11-27,54.4
2013-11-28,54.15
2013-11-29,53.75
2013-12-02,53.25
2013-12-03,52.65
2013-12-04,52.6
2013-12-06,52.6
2013-12-09,52.6
2013-12-11,52.4
2013-12-12,51.35
2013-12-13,50.9
2013-12-16,51.2
2013-12-17,51.6
2013-12-18,51.1
2013-12-19,51.1
2013-12-20,51.0
2013-12-23,50.9
2013-12-24,50.5
2013-12-25,50.85
2013-12-26,50.3
2013-12-27,48.6
2014-01-02,46.5
2014-01-03,44.5
2014-01-06,44.65
2014-01-07,46.75
2014-01-08,47.5
2014-01-09,47.75
2014-01-10,47.1
2014-01-13,48.1
2014-01-14,47.5
2014-01-15,46.4
2014-01-16,46.15
2014-01-17,46.5
2014-01-20,47.15
2014-01-21,46.5
2014-01-22,46.15
2014-01-23,45.5
2014-01-24,45.4
2014-01-27,44.1
2014-01-28,44.2
2014-01-29,44.9
2014-01-30,44.5
2014-01-31,44.75
2014-02-03,45.0
2014-02-04,44.65
2014-02-05,45.2
2014-02-06,46.4
2014-02-07,47.15
2014-02-10,46.75
2014-02-11,46.25
2014-02-12,46.35
2014-02-13,46.65
2014-02-17,46.65
2014-02-18,46.65
2014-02-19,46.9
2014-02-20,46.4
2014-02-21,45.75
2014-02-24,46.25
2014-02-25,46.4
2014-02-26,46.9
2014-02-27,47.6
2014-02-28,47.85
2014-03-03,49.65
2014-03-04,49.5
2014-03-05,50.25
2014-03-06,50.3
2014-03-07,50.25
2014-03-10,50.9
2014-03-11,52.4
2014-03-12,52.6
2014-03-13,52.5
2014-03-14,54.15
2014-03-17,54.6
2014-03-18,53.0
2014-03-19,52.25
2014-03-20,51.8
2014-03-21,51.85
2014-03-24,52.4
2014-03-25,51.65
2014-03-26,51.3
2014-03-27,51.15
2014-03-28,51.25
2014-03-31,52.0
2014-04-01,52.35
2014-04-02,53.5
2014-04-03,53.5
2014-04-04,54.5
2014-04-08,54.25
2014-04-09,52.9
2014-04-10,52.65
2014-04-11,52.75
2014-04-16,52.15
2014-04-17,51.85
2014-04-18,52.35
2014-04-21,52.5
2014-04-22,52.5
2014-04-23,52.0
2014-04-24,51.5
2014-04-25,50.5
2014-04-28,49.7
2014-04-29,50.65
2014-04-30,50.65
2014-05-02,50.25
2014-05-06,50.4
2014-05-07,49.75
2014-05-08,49.9
2014-05-09,50.0
2014-05-12,50.1
2014-05-14,50.2
2014-05-15,50.35
2014-05-16,50.25
2014-05-19,51.1
2014-05-20,51.6
2014-05-21,52.3
2014-05-22,52.7
2014-05-23,52.0
2014-05-26,51.5
2014-05-27,53.6
2014-05-28,56.0
2014-05-29,57.5
2014-05-30,57.25
2014-06-02,58.5
2014-06-03,58.5
2014-06-04,57.0
2014-06-05,57.9
2014-06-06,58.0
2014-06-09,57.75
2014-06-10,57.9
2014-06-11,58.35
2014-06-12,58.0
2014-06-13,58.1
2014-06-16,57.85
2014-06-17,57.8
2014-06-18,57.4
2014-06-19,56.75
2014-06-20,56.4
2014-06-23,57.4
2014-06-24,57.4
2014-06-25,57.25
2014-06-26,56.9
2014-06-27,57.15
2014-06-30,57.5
2014-07-02,56.5
2014-07-03,56.5
2014-07-04,57.9
2014-07-07,58.75
2014-07-08,59.9
2014-07-09,60.3
2014-07-10,60.0
2014-07-14,59.6
2014-07-15,59.2
2014-07-16,59.65
2014-07-17,59.5
2014-07-18,58.9
2014-07-21,58.5
2014-07-22,58.65
2014-07-23,59.4
2014-07-24,59.6
2014-07-25,58.5
2014-07-28,58.65
2014-07-29,58.8
2014-07-30,59.0
2014-07-31,58.9
2014-08-01,57.9
2014-08-04,57.6
2014-08-05,58.0
2014-08-06,58.0
2014-08-07,58.0
2014-08-08,57.4
2014-08-13,57.1
2014-08-14,58.0
2014-08-15,58.0
2014-08-18,58.0
2014-08-19,57.65
2014-08-20,57.5
2014-08-21,57.65
2014-08-22,58.25
2014-08-25,58.75
2014-08-26,58.9
2014-08-27,58.5
2014-08-28,57.7
2014-08-29,56.75
2014-09-01,57.0
2014-09-02,56.3
2014-09-03,55.8
2014-09-04,56.5
2014-09-05,56.9
2014-09-08,56.9
2014-09-09,56.6
2014-09-10,55.7
2014-09-11,55.1
2014-09-12,54.85
2014-09-15,54.1
2014-09-16,53.5
2014-09-17,53.0
2014-09-18,52.7
2014-09-19,52.6
2014-09-22,52.5
2014-09-23,52.2
2014-09-24,52.5
2014-09-25,53.9
2014-09-26,54.65
2014-09-29,53.85
2014-09-30,52.8
2014-10-01,52.5
2014-10-02,51.25
2014-10-03,50.75
2014-10-06,50.4
2014-10-07,49.9
2014-10-08,49.7
2014-10-09,50.7
2014-10-10,51.2
2014-10-13,50.65
2014-10-14,50.9
2014-10-15,51.65
2014-10-16,51.65
2014-10-17,52.0
2014-10-20,52.1
2014-10-21,51.1
2014-10-22,50.5
2014-10-24,50.25
2014-10-27,50.2
2014-10-28,49.85
2014-10-29,49.9
2014-10-30,50.25
2014-10-31,51.0
2014-11-03,52.6
2014-11-04,53.65
2014-11-05,53.15
2014-11-06,52.5
